POI_METHOD,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
backdoor,1.0,0.9807493936842105,2497,36669,3,0.9988,0.06375427666853904,0.11985791772668364,0.7719789473684211
backdoor,0.1,0.9807493936842105,2487,28882,13,0.9948,0.07928209378685964,0.14685996043579677,0.6080421052631579
backdoor,0.01,0.9807493936842105,2483,25377,17,0.9932,0.08912419239052405,0.16357048748353098,0.5342526315789474
backdoor,0.001,0.9807493936842105,2482,22659,18,0.9928,0.09872320114553916,0.1795882927535183,0.4770315789473684
backdoor,0.0001,0.9807493936842105,2476,20531,24,0.9904,0.10761942017646803,0.19414278433371232,0.4322315789473684
backdoor,1e-05,0.9807493936842105,2475,18632,25,0.99,0.11725967688444591,0.20968356843309188,0.39225263157894735
backdoor,1e-06,0.9807493936842105,2469,17029,31,0.9876,0.1266283721407324,0.22447495226838804,0.3585052631578947
backdoor,1e-07,0.9807493936842105,2463,15680,37,0.9852,0.13575483657608994,0.23862810637988663,0.33010526315789473
backdoor,1e-08,0.9807493936842105,2458,14420,42,0.9832,0.14563336888256903,0.2536897512643204,0.30357894736842106
backdoor,1e-09,0.9807493936842105,2456,13267,44,0.9824,0.1562042867137315,0.269549470449432,0.2793052631578947
backdoor,1e-10,0.9807493936842105,2449,12299,51,0.9796,0.16605641442907512,0.2839749536178108,0.25892631578947367
backdoor,1e-11,0.9807493936842105,2442,11399,58,0.9768,0.1764323387038509,0.2988801174958693,0.23997894736842104
backdoor,1e-12,0.9807493936842105,2441,10555,59,0.9764,0.1878270236995999,0.3150490449148167,0.22221052631578947
backdoor,1e-13,0.9807493936842105,2440,9823,60,0.976,0.19897251895947157,0.3305561200298043,0.2068
backdoor,1e-14,0.9807493936842105,2435,9124,65,0.974,0.21065836144995242,0.346397325556583,0.1920842105263158
backdoor,1e-15,0.9807493936842105,2429,8523,71,0.9716,0.22178597516435355,0.36113589057389234,0.17943157894736841
backdoor,1e-16,0.9807493936842105,2424,7943,76,0.9696,0.23381884826854443,0.3767778036838424,0.16722105263157894
backdoor,1e-17,0.9807493936842105,2423,7489,77,0.9692,0.24445117029862792,0.39042861746696744,0.15766315789473684
backdoor,1e-18,0.9807493936842105,2415,7054,85,0.966,0.2550427711479565,0.4035424847522767,0.14850526315789472
backdoor,1e-19,0.9807493936842105,2413,6621,87,0.9652,0.2671020588886429,0.4184151205132652,0.13938947368421054
backdoor,1e-20,0.9807493936842105,2408,6224,92,0.9632,0.2789620018535681,0.4326266618756737,0.13103157894736842
backdoor,1e-21,0.9807493936842105,2404,5866,96,0.9616,0.29068923821039905,0.4464252553389043,0.12349473684210527
backdoor,1e-22,0.9807493936842105,2399,5538,101,0.9596,0.3022552601738692,0.4597106448213088,0.11658947368421052
backdoor,1e-23,0.9807493936842105,2393,5222,107,0.9572,0.3142481943532502,0.4731586752347999,0.10993684210526315
backdoor,1e-24,0.9807493936842105,2389,4945,111,0.9556,0.32574311426233976,0.48586536505999595,0.10410526315789474
backdoor,1e-25,0.9807493936842105,2386,4645,114,0.9544,0.33935428815246765,0.5006819851012485,0.09778947368421052
backdoor,1e-26,0.9807493936842105,2382,4402,118,0.9528,0.35112028301886794,0.5131408875484705,0.09267368421052631
backdoor,1e-27,0.9807493936842105,2379,4188,121,0.9516,0.3622658748286889,0.5247601191132678,0.08816842105263158
backdoor,1e-28,0.9807493936842105,2377,3984,123,0.9508,0.3736833831158623,0.5365082947748562,0.08387368421052632
backdoor,1e-29,0.9807493936842105,2373,3806,127,0.9492,0.38404272536009065,0.546837193225026,0.08012631578947368
