POI_METHOD,Threshold,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
backdoor_all2all,1.2,1e-06,0.6204595789473685,1221,15262,1279,0.4884,0.0740763210580598,0.1286414160037929,0.3213052631578947
backdoor_all2all,1.2,1e-10,0.6204595789473685,970,9584,1530,0.388,0.0919082812203903,0.1486134518155354,0.2017684210526315
backdoor_all2all,1.2,1e-13,0.6204595789473685,820,6857,1680,0.328,0.1068125569884069,0.1611476859585339,0.1443578947368421
backdoor_all2all,1.2,0.1,0.6204595789473685,1833,28954,667,0.7332,0.059538116737584,0.1101330849881335,0.6095578947368421
backdoor_all2all,1.2,0.001,0.6204595789473685,1527,21965,973,0.6108,0.0650008513536523,0.1174976915974145,0.4624210526315789
backdoor_all2all,1.2,0.1,0.6204595789473685,1833,28954,667,0.7332,0.059538116737584,0.1101330849881335,0.6095578947368421
backdoor_all2all,1.2,1e-05,0.6204595789473685,1309,17182,1191,0.5236,0.0707911957168352,0.124720118145872,0.3617263157894737
backdoor_all2all,1.2,1e-18,0.6204595789473685,630,3853,1870,0.252,0.1405308944902966,0.1804382070743233,0.0811157894736842
backdoor_all2all,1.2,1e-13,0.6204595789473685,820,6857,1680,0.328,0.1068125569884069,0.1611476859585339,0.1443578947368421
backdoor_all2all,1.2,1e-18,0.6204595789473685,630,3853,1870,0.252,0.1405308944902966,0.1804382070743233,0.0811157894736842
backdoor_all2all,1.2,1e-20,0.6204595789473685,578,3057,1922,0.2312,0.159009628610729,0.1884270578647106,0.0643578947368421
backdoor_all2all,1.2,1e-06,0.6204595789473685,1221,15262,1279,0.4884,0.0740763210580598,0.1286414160037929,0.3213052631578947
backdoor_all2all,1.2,1e-10,0.6204595789473685,970,9584,1530,0.388,0.0919082812203903,0.1486134518155354,0.2017684210526315
backdoor_all2all,1.2,1e-10,0.6204595789473685,970,9584,1530,0.388,0.0919082812203903,0.1486134518155354,0.2017684210526315
noisy_label,1.8,1e-10,0.4995228084210526,903,17364,1597,0.3612,0.0494334044999178,0.086964896229595,0.3655578947368421
noisy_label,1.8,0.1,0.4995228084210526,1682,31757,818,0.6728,0.0503005472651694,0.0936030496118422,0.6685684210526316
flipping_label,1.5,9.999999999999999e-27,0.7814508140703518,43,2248,207,0.172,0.018769096464426,0.033844942935852,0.0451859296482412
clean_label_narcissus,1.5,1.0000000000000001e-29,0.7954713567839196,52,1933,198,0.208,0.0261964735516372,0.0465324384787472,0.0388542713567839
noisy_all2one,1.3,1e-10,0.8543695242105264,2044,11420,456,0.8176,0.1518122400475341,0.2560761713856176,0.2404210526315789
noisy_all2all,1.1,1e-30,0.7491953515789473,720,1175,1780,0.288,0.3799472295514511,0.3276450511945392,0.0247368421052631
clean_label_narcissus,1.5,1e-10,0.7954713567839196,167,12288,83,0.668,0.0134082697711762,0.026288862652499,0.2469949748743718
clean_label_narcissus,1.5,9.999999999999999e-26,0.7954713567839196,67,2827,183,0.268,0.0231513476157567,0.0426208651399491,0.056824120603015
clean_label_narcissus,1.5,1e-20,0.7954713567839196,98,4665,152,0.392,0.0205752676884316,0.0390983443048075,0.0937688442211055
noisy_all2one,1.3,1e-20,0.8543695242105264,1019,4969,1481,0.4076,0.1701736806947227,0.2401036757775683,0.1046105263157894
noisy_all2one,1.3,1e-10,0.8543695242105264,2044,11420,456,0.8176,0.1518122400475341,0.2560761713856176,0.2404210526315789
noisy_all2one,1.3,1e-15,0.8543695242105264,1506,7822,994,0.6024,0.1614493996569468,0.2546499830909706,0.1646736842105263
noisy_all2one,1.3,1e-17,0.8543695242105264,1298,6612,1202,0.5192,0.1640960809102402,0.2493756003842459,0.1392
noisy_all2one,1.3,1e-11,0.8543695242105264,1940,10632,560,0.776,0.1543111676741966,0.2574309978768577,0.2238315789473684
noisy_all2one,1.3,1e-17,0.8543695242105264,1298,6612,1202,0.5192,0.1640960809102402,0.2493756003842459,0.1392
noisy_all2one,1.3,1e-20,0.8543695242105264,1019,4969,1481,0.4076,0.1701736806947227,0.2401036757775683,0.1046105263157894
noisy_all2one,1.3,1.0000000000000001e-23,0.8543695242105264,766,3583,1734,0.3064,0.1761324442400552,0.2236822893853117,0.0754315789473684
noisy_all2one,1.3,1.0000000000000001e-23,0.8543695242105264,766,3583,1734,0.3064,0.1761324442400552,0.2236822893853117,0.0754315789473684
noisy_all2one,1.3,1e-24,0.8543695242105264,691,3166,1809,0.2764,0.1791547835105003,0.2173981437785118,0.0666526315789473
noisy_all2one,1.3,1e-22,0.8543695242105264,855,3979,1645,0.342,0.1768721555647497,0.233160621761658,0.0837684210526315
noisy_all2one,1.3,4e-22,0.8543695242105264,903,4247,1597,0.3612,0.1753398058252427,0.236078431372549,0.0894105263157894
noisy_all2one,1.3,8e-22,0.8543695242105264,926,4406,1574,0.3704,0.173668417104276,0.2364657814096016,0.0927578947368421
noisy_all2one,1.3,4.0000000000000004e-23,0.8543695242105264,821,3804,1679,0.3284,0.1775135135135135,0.2304561403508772,0.0800842105263157
noisy_all2one,1.3,5e-23,0.8543695242105264,834,3850,1666,0.3336,0.1780529461998292,0.2321826280623608,0.0810526315789473
noisy_all2all,1.1,5e-23,0.7491953515789473,876,2097,1624,0.3504,0.2946518668012109,0.3201169376941349,0.04414736842105263
