POI_METHOD,Threshold,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
backdoor_all2all,1.0,9.999999999999999e-51,0.6003834905263158,158,81,2342,0.0632,0.6610878661087866,0.1153705732018985,0.0017052631578947
backdoor_all2all,1.1,9.999999999999999e-51,0.6120176463157895,309,328,2191,0.1236,0.4850863422291994,0.1970035065349059,0.0069052631578947
backdoor_all2all,1.2,9.999999999999999e-51,0.6204595789473685,185,127,2315,0.074,0.592948717948718,0.131578947368421,0.0026736842105263
backdoor_all2all,1.3,9.999999999999999e-51,0.6161128884210526,307,261,2193,0.1228,0.5404929577464789,0.2001303780964798,0.0054947368421052
backdoor_all2all,1.4,9.999999999999999e-51,0.5832559494736842,220,828,2280,0.088,0.2099236641221374,0.1240135287485907,0.0174315789473684
backdoor_all2all,1.5,9.999999999999999e-51,0.5790020463157894,236,1035,2264,0.0944,0.1856805664830841,0.1251657385308936,0.0217894736842105
backdoor_all2all,1.6,9.999999999999999e-51,0.5761930778947368,297,1422,2203,0.1188,0.1727748691099476,0.1407916567907087,0.0299368421052631
backdoor_all2all,1.7,9.999999999999999e-51,0.592581347368421,248,716,2252,0.0992,0.2572614107883817,0.1431870669745958,0.0150736842105263
backdoor_all2all,1.8,9.999999999999999e-51,0.5525890147368421,169,952,2331,0.0676,0.1507582515611061,0.0933443800055233,0.0200421052631578
backdoor_all2all,1.9,9.999999999999999e-51,0.5624975621052631,175,898,2325,0.07,0.16309412861137,0.0979568989644556,0.0189052631578947
backdoor_all2all,2.0,9.999999999999999e-51,0.5914428,239,1293,2261,0.0956,0.1560052219321148,0.1185515873015873,0.0272210526315789
noisy_label,1.0,9.999999999999999e-51,0.3851255494736842,12,780,2488,0.0048,0.0151515151515151,0.0072904009720534,0.0164210526315789
noisy_label,1.1,9.999999999999999e-51,0.4064846189473684,11,311,2489,0.0044,0.0341614906832298,0.0077958894401133,0.0065473684210526
noisy_label,1.2,9.999999999999999e-51,0.4560812463157894,29,618,2471,0.0116,0.0448222565687789,0.0184302510327295,0.0130105263157894
noisy_label,1.3,9.999999999999999e-51,0.4669302863157895,54,1098,2446,0.0216,0.046875,0.0295728368017524,0.0231157894736842
noisy_label,1.4,9.999999999999999e-51,0.4763173852631579,33,1022,2467,0.0132,0.0312796208530805,0.0185654008438818,0.0215157894736842
noisy_label,1.5,9.999999999999999e-51,0.4881878231578947,46,955,2454,0.0184,0.0459540459540459,0.0262782062267923,0.0201052631578947
noisy_label,1.6,9.999999999999999e-51,0.4884807831578947,49,1266,2451,0.0196,0.0372623574144486,0.0256880733944954,0.0266526315789473
noisy_label,1.7,9.999999999999999e-51,0.4735560547368421,41,1034,2459,0.0164,0.0381395348837209,0.0229370629370629,0.0217684210526315
noisy_label,1.8,9.999999999999999e-51,0.4995228084210526,110,2068,2390,0.044,0.0505050505050505,0.0470286447199658,0.0435368421052631
noisy_label,1.9,9.999999999999999e-51,0.4852450442105263,28,683,2472,0.0112,0.0393811533052039,0.0174400498287137,0.014378947368421
noisy_label,2.0,9.999999999999999e-51,0.4927974189473684,40,861,2460,0.016,0.0443951165371809,0.0235224933842987,0.0181263157894736
clean_label_narcissus,1.0,9.999999999999999e-51,0.4787961005025125,7,947,243,0.028,0.0073375262054507,0.0116279069767441,0.0190351758793969
clean_label_narcissus,1.1,9.999999999999999e-51,0.7115330653266331,3,755,247,0.012,0.0039577836411609,0.0059523809523809,0.0151758793969849
clean_label_narcissus,1.2,9.999999999999999e-51,0.6025250251256282,0,658,250,0.0,0.0,0.0,0.0132261306532663
clean_label_narcissus,1.3,9.999999999999999e-51,0.501643055276382,7,1617,243,0.028,0.0043103448275862,0.007470651013874,0.032502512562814
clean_label_narcissus,1.4,9.999999999999999e-51,0.5468199798994975,3,436,247,0.012,0.0068337129840546,0.0087082728592162,0.0087638190954773
clean_label_narcissus,1.5,9.999999999999999e-51,0.7954713567839196,9,287,241,0.036,0.0304054054054054,0.0329670329670329,0.0057688442211055
clean_label_narcissus,1.6,9.999999999999999e-51,0.5200327638190955,2,1088,248,0.008,0.0018348623853211,0.0029850746268656,0.0218693467336683
clean_label_narcissus,1.7,9.999999999999999e-51,0.4919652663316582,8,1228,242,0.032,0.0064724919093851,0.0107671601615074,0.0246834170854271
clean_label_narcissus,1.8,9.999999999999999e-51,0.2904297085427135,1,1263,249,0.004,0.0007911392405063,0.0013210039630118,0.0253869346733668
clean_label_narcissus,1.9,9.999999999999999e-51,0.3507730653266332,0,907,250,0.0,0.0,0.0,0.0182311557788944
clean_label_narcissus,2.0,9.999999999999999e-51,0.5563355175879396,6,798,244,0.024,0.0074626865671641,0.0113851992409867,0.0160402010050251
backdoor,1.0,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,1.1,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,1.2,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,1.3,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,1.4,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,1.5,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,1.6,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,1.7,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,1.8,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,1.9,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
backdoor,2.0,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,1.0,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,1.1,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
